Title	Year	Rating	Runtime	Score	Votes	Famous	RatingGroup
A Blue Ridge Mountain Christmas	2019	TV-G	84	6.1	1168	FALSE	G
Cherished Memories: A Gift to Remember 2	2019	TV-G	86	6.1	930	FALSE	G
Angels and Ornaments	2014	TV-G	84	6.8	1220	TRUE	G
It's Christmas, Eve	2018	TV-G	84	6.5	1364	TRUE	G
Saving Santa	2013	Not Rated	83	5.3	2698	TRUE	Other
Silver Bells	2005	TV-G	95	6.4	1225	TRUE	G
Snowmance	2017	Unrated	90	5.2	974	FALSE	Other
A Dennis the Menace Christmas	2007	G	83	4.7	2106	TRUE	G
A Christmas Kiss II	2014	Unrated	88	5.9	2081	TRUE	Other
The Christmas Bow	2020	TV-G	83	6.7	1076	FALSE	G
Journey Back to Christmas	2016	TV-G	84	7	2950	TRUE	G
Once Upon a Main Street	2020	TV-PG	87	6.3	690	FALSE	PG
Christmas on the Rocks	2022	NA	90	6.4	72	FALSE	Other
Christmas Around the Corner	2018	TV-PG	90	6.6	1596	TRUE	PG
A Christmas Princess	2019	TV-PG	90	5.5	768	FALSE	PG
Magic Stocking	2015	AL	86	6.4	1566	TRUE	Other
The Spruces and the Pines	2017	Unrated	86	6	976	FALSE	Other
Magical Christmas Ornaments	2017	TV-14	90	6.3	1757	TRUE	Other
Four Christmases and a Wedding	2017	TV-14	90	5.9	1319	TRUE	Other
Time for You to Come Home for Christmas	2019	TV-G	84	7	1061	FALSE	G
My Christmas Love	2016	TV-G	85	6.2	2737	TRUE	G
Deliver by Christmas	2020	TV-G	84	6.6	1212	TRUE	G
A Wedding for Christmas	2018	AL	90	5.3	942	FALSE	Other
Hitched for the Holidays	2012	TV-PG	87	6.5	2118	TRUE	PG
Christmas at Cartwright's	2014	TV-G	84	6.3	1979	TRUE	G
An Accidental Christmas	2007	TV-PG	90	4.4	586	FALSE	PG
Jingle Bell Bride	2020	TV-G	84	6.1	1225	TRUE	G
Finding Father Christmas	2016	TV-G	84	6.8	2388	TRUE	G
Girlfriends of Christmas Past	2016	TV-PG	90	5.1	911	FALSE	PG
The Christmas Edition	2020	TV-PG	88	6.1	650	FALSE	PG
Window Wonderland	2013	TV-G	86	6.7	2242	TRUE	G
Christmas on Ice	2020	TV-PG	87	6.1	956	FALSE	PG
The Perfect Christmas Present	2017	TV-G	82	6.3	1705	TRUE	G
Shoelaces for Christmas	2018	TV-PG	90	6.3	470	FALSE	PG
A Merry Christmas Match	2019	TV-G	82	5.8	1270	TRUE	G
A Godwink Christmas: Meant for Love	2019	Not Rated	85	6.9	1638	TRUE	Other
A Christmas Coincidence	2018	TV-G	87	6.6	1754	TRUE	G
Charming Christmas	2015	TV-G	85	6.1	1842	TRUE	G
Christmas Land	2015	TV-G	84	5.8	2698	TRUE	G
Prancer Returns	2001	Not Rated	91	5.8	630	FALSE	Other
The Dog Days of Christmas	2021	NA	88	5.2	248	FALSE	Other
Elf-Man	2012	Not Rated	86	3.5	727	FALSE	Other
Christmas Wishes and Mistletoe Kisses	2019	TV-G	84	6.5	1701	TRUE	G
Christmas Encore	2017	TV-G	83	5.7	1274	TRUE	G
A Christmas in Royal Fashion	2018	AL	90	5.3	718	FALSE	Other
Christmas at Pemberley Manor	2018	TV-G	84	6.2	2553	TRUE	G
A Candy Cane Christmas	2020	TV-PG	91	5.5	681	FALSE	PG
Christmas Under the Stars	2019	TV-G	82	6.7	2033	TRUE	G
Christmas Mail	2010	TV-PG	89	5.3	1799	TRUE	PG
Road to Christmas	2018	TV-G	84	6.7	2025	TRUE	G
Love at the Christmas Table	2012	Not Rated	89	6.3	2609	TRUE	Other
One Starry Christmas	2014	TV-G	83	6.5	2215	TRUE	G
It's Beginning to Look a Lot Like Christmas	2019	TV-G	83	6	948	FALSE	G
Inn Love by Christmas	2020	NA	88	5.9	718	FALSE	Other
48 Christmas Wishes	2017	TV-G	84	3.9	1195	FALSE	G
Christmas Next Door	2017	TV-G	86	6.5	2547	TRUE	G
Rediscovering Christmas	2019	TV-G	87	5.8	430	FALSE	G
Boyfriends of Christmas Past	2021	TV-G	84	6	1134	FALSE	G
A Christmas Reunion	2015	TV-G	86	5.1	778	FALSE	G
Marrying Father Christmas	2018	TV-G	85	6.3	1392	TRUE	G
It's Christmas, Carol!	2012	TV-G	87	5.8	945	FALSE	G
Broadcasting Christmas	2016	TV-G	84	6	1899	TRUE	G
Red Snow	2021	NA	80	5.4	1874	TRUE	Other
A Song for Christmas	2017	TV-G	89	5.9	877	FALSE	G
Christmas Scavenger Hunt	2019	TV-G	82	6	1272	TRUE	G
Sleigh Bells Ring	2016	TV-G	82	6.3	1398	TRUE	G
The Christmas Chalet	2019	AL	90	6.6	867	FALSE	Other
Mistletoe Match	2022	NA	NA	6.5	87	FALSE	Other
